CARGO;FICHA;PROCESO(S);SUBPROCESOS
ANALISTA II;TP-AD-2012;Cumplimiento de obligaciones tributarias;Fiscalización y Liquidación
ANALISTA I;TP-AD-2013;Cumplimiento de obligaciones tributarias;Fiscalización y Liquidación
FACILITADOR IV;TP-AD-1014;Cumplimiento de obligaciones tributarias;Fiscalización y Liquidación
FACILITADOR III;TP-AD-1015;Cumplimiento de obligaciones tributarias;Fiscalización y Liquidación
FACILITADOR II;TP-AD-1016;Cumplimiento de obligaciones tributarias;Fiscalización y Liquidación
INSPECTOR IV;TP-DE-3001;Cumplimiento de obligaciones tributarias;Fiscalización y Liquidación
INSPECTOR III;TP-DE-3002;Cumplimiento de obligaciones tributarias;Fiscalización y Liquidación
INSPECTOR II;TP-DE-3003;Cumplimiento de obligaciones tributarias;Fiscalización y Liquidación
INSPECTOR I;TP-DE-3004;Cumplimiento de obligaciones tributarias;Fiscalización y Liquidación
GESTOR IV;TP-DE-3005;Cumplimiento de obligaciones tributarias;Fiscalización y Liquidación
GESTOR III;TP-DE-3006;Cumplimiento de obligaciones tributarias;Fiscalización y Liquidación
GESTOR II;TP-DE-3007;Cumplimiento de obligaciones tributarias;Fiscalización y Liquidación
GESTOR I;TP-DE-3008;Cumplimiento de obligaciones tributarias;Fiscalización y Liquidación
ANALISTA V;TP-DE-2009;Cumplimiento de obligaciones tributarias;Fiscalización y Liquidación
ANALISTA IV;TP-DE-2010;Cumplimiento de obligaciones tributarias;Fiscalización y Liquidación
ANALISTA III;TP-DE-2011;Cumplimiento de obligaciones tributarias;Fiscalización y Liquidación
ANALISTA II;TP-DE-2012;Cumplimiento de obligaciones tributarias;Fiscalización y Liquidación
ANALISTA I;TP-DE-2013;Cumplimiento de obligaciones tributarias;Fiscalización y Liquidación
FACILITADOR IV;TP-DE-1014;Cumplimiento de obligaciones tributarias;Fiscalización y Liquidación
FACILITADOR III;TP-DE-1015;Cumplimiento de obligaciones tributarias;Fiscalización y Liquidación
FACILITADOR II;TP-DE-1016;Cumplimiento de obligaciones tributarias;Fiscalización y Liquidación
FACILITADOR I;TP-DE-1017;Cumplimiento de obligaciones tributarias;Fiscalización y Liquidación
FACILITADOR IV;AF-RA-1008;Cumplimiento de obligaciones tributarias;Fiscalización y Liquidación
FACILITADOR III;AF-RA-1009;Cumplimiento de obligaciones tributarias;Fiscalización y Liquidación
FACILITADOR II;AF-RA-1011;Cumplimiento de obligaciones tributarias;Fiscalización y Liquidación
INSPECTOR IV;TP-AD-3001;Administrativo y Financiero;Operación logística
INSPECTOR III;TP-AD-3002;Administrativo y Financiero;Operación logística
INSPECTOR II;TP-AD-3003;Administrativo y Financiero;Operación logística
INSPECTOR I;TP-AD-3004;Administrativo y Financiero;Operación logística
GESTOR IV;TP-AD-3005;Administrativo y Financiero;Operación logística
GESTOR III;TP-AD-3006;Administrativo y Financiero;Operación logística
GESTOR II;TP-AD-3007;Administrativo y Financiero;Operación logística
GESTOR I;TP-AD-3008;Administrativo y Financiero;Operación logística
ANALISTA V;TP-AD-2009;Administrativo y Financiero;Operación logística
ANALISTA IV;TP-AD-2010;Administrativo y Financiero;Operación logística
ANALISTA III;TP-AD-2011;Administrativo y Financiero;Operación logística
ANALISTA II;TP-AD-2012;Administrativo y Financiero;Operación logística
ANALISTA I;TP-AD-2013;Administrativo y Financiero;Operación logística
FACILITADOR IV;TP-AD-1014;Administrativo y Financiero;Operación logística
FACILITADOR III;TP-AD-1015;Administrativo y Financiero;Operación logística
FACILITADOR II;TP-AD-1016;Administrativo y Financiero;Operación logística
INSPECTOR IV;TP-DE-3001;Administrativo y Financiero;Operación logística
INSPECTOR III;TP-DE-3002;Administrativo y Financiero;Operación logística
INSPECTOR II;TP-DE-3003;Administrativo y Financiero;Operación logística
INSPECTOR I;TP-DE-3004;Administrativo y Financiero;Operación logística
GESTOR IV;TP-DE-3005;Administrativo y Financiero;Operación logística
GESTOR III;TP-DE-3006;Administrativo y Financiero;Operación logística
GESTOR II;TP-DE-3007;Administrativo y Financiero;Operación logística
GESTOR I;TP-DE-3008;Administrativo y Financiero;Operación logística
ANALISTA V;TP-DE-2009;Administrativo y Financiero;Operación logística
ANALISTA IV;TP-DE-2010;Administrativo y Financiero;Operación logística
ANALISTA III;TP-DE-2011;Administrativo y Financiero;Operación logística
ANALISTA II;TP-DE-2012;Administrativo y Financiero;Operación logística
ANALISTA I;TP-DE-2013;Administrativo y Financiero;Operación logística
FACILITADOR IV;TP-DE-1014;Administrativo y Financiero;Operación logística
FACILITADOR III;TP-DE-1015;Administrativo y Financiero;Operación logística
FACILITADOR II;TP-DE-1016;Administrativo y Financiero;Operación logística
FACILITADOR I;TP-DE-1017;Administrativo y Financiero;Operación logística
FACILITADOR IV;AF-RA-1008;Administrativo y Financiero;Operación logística
FACILITADOR III;AF-RA-1009;Administrativo y Financiero;Operación logística
FACILITADOR II;AF-RA-1011;Administrativo y Financiero;Operación logística
INSPECTOR IV;TP-AD-3001;Cumplimiento de obligaciones aduaneras y cambiarias;Fiscalización y liquidación
INSPECTOR III;TP-AD-3002;Cumplimiento de obligaciones aduaneras y cambiarias;Fiscalización y liquidación
INSPECTOR II;TP-AD-3003;Cumplimiento de obligaciones aduaneras y cambiarias;Fiscalización y liquidación
INSPECTOR I;TP-AD-3004;Cumplimiento de obligaciones aduaneras y cambiarias;Fiscalización y liquidación
GESTOR IV;TP-AD-3005;Cumplimiento de obligaciones aduaneras y cambiarias;Fiscalización y liquidación
GESTOR III;TP-AD-3006;Cumplimiento de obligaciones aduaneras y cambiarias;Fiscalización y liquidación
GESTOR II;TP-AD-3007;Cumplimiento de obligaciones aduaneras y cambiarias;Fiscalización y liquidación
GESTOR I;TP-AD-3008;Cumplimiento de obligaciones aduaneras y cambiarias;Fiscalización y liquidación
ANALISTA V;TP-AD-2009;Cumplimiento de obligaciones aduaneras y cambiarias;Fiscalización y liquidación
ANALISTA IV;TP-AD-2010;Cumplimiento de obligaciones aduaneras y cambiarias;Fiscalización y liquidación
ANALISTA III;TP-AD-2011;Cumplimiento de obligaciones aduaneras y cambiarias;Fiscalización y liquidación
ANALISTA II;TP-AD-2012;Cumplimiento de obligaciones aduaneras y cambiarias;Fiscalización y liquidación
ANALISTA I;TP-AD-2013;Cumplimiento de obligaciones aduaneras y cambiarias;Fiscalización y liquidación
FACILITADOR IV;TP-AD-1014;Cumplimiento de obligaciones aduaneras y cambiarias;Fiscalización y liquidación
FACILITADOR III;TP-AD-1015;Cumplimiento de obligaciones aduaneras y cambiarias;Fiscalización y liquidación
FACILITADOR II;TP-AD-1016;Cumplimiento de obligaciones aduaneras y cambiarias;Fiscalización y liquidación
INSPECTOR IV;TP-DE-3001;Cumplimiento de obligaciones aduaneras y cambiarias;Fiscalización y liquidación
INSPECTOR III;TP-DE-3002;Cumplimiento de obligaciones aduaneras y cambiarias;Fiscalización y liquidación
INSPECTOR II;TP-DE-3003;Cumplimiento de obligaciones aduaneras y cambiarias;Fiscalización y liquidación
INSPECTOR I;TP-DE-3004;Cumplimiento de obligaciones aduaneras y cambiarias;Fiscalización y liquidación
GESTOR IV;TP-DE-3005;Cumplimiento de obligaciones aduaneras y cambiarias;Fiscalización y liquidación
GESTOR III;TP-DE-3006;Cumplimiento de obligaciones aduaneras y cambiarias;Fiscalización y liquidación
GESTOR II;TP-DE-3007;Cumplimiento de obligaciones aduaneras y cambiarias;Fiscalización y liquidación
GESTOR I;TP-DE-3008;Cumplimiento de obligaciones aduaneras y cambiarias;Fiscalización y liquidación
ANALISTA V;TP-DE-2009;Cumplimiento de obligaciones aduaneras y cambiarias;Fiscalización y liquidación
ANALISTA IV;TP-DE-2010;Cumplimiento de obligaciones aduaneras y cambiarias;Fiscalización y liquidación
ANALISTA III;TP-DE-2011;Cumplimiento de obligaciones aduaneras y cambiarias;Fiscalización y liquidación
ANALISTA II;TP-DE-2012;Cumplimiento de obligaciones aduaneras y cambiarias;Fiscalización y liquidación
ANALISTA I;TP-DE-2013;Cumplimiento de obligaciones aduaneras y cambiarias;Fiscalización y liquidación
FACILITADOR IV;TP-DE-1014;Cumplimiento de obligaciones aduaneras y cambiarias;Fiscalización y liquidación
FACILITADOR III;TP-DE-1015;Cumplimiento de obligaciones aduaneras y cambiarias;Fiscalización y liquidación
FACILITADOR II;TP-DE-1016;Cumplimiento de obligaciones aduaneras y cambiarias;Fiscalización y liquidación
FACILITADOR I;TP-DE-1017;Cumplimiento de obligaciones aduaneras y cambiarias;Fiscalización y liquidación
FACILITADOR IV;AF-RA-1008;Cumplimiento de obligaciones aduaneras y cambiarias;Fiscalización y liquidación
FACILITADOR III;AF-RA-1009;Cumplimiento de obligaciones aduaneras y cambiarias;Fiscalización y liquidación
FACILITADOR II;AF-RA-1011;Cumplimiento de obligaciones aduaneras y cambiarias;Fiscalización y liquidación
INSPECTOR IV;TP-AD-3001;Talento Humano;Investigaciones disciplinarias
INSPECTOR III;TP-AD-3002;Talento Humano;Investigaciones disciplinarias
INSPECTOR II;TP-AD-3003;Talento Humano;Investigaciones disciplinarias
INSPECTOR I;TP-AD-3004;Talento Humano;Investigaciones disciplinarias
GESTOR IV;TP-AD-3005;Talento Humano;Investigaciones disciplinarias
GESTOR III;TP-AD-3006;Talento Humano;Investigaciones disciplinarias
GESTOR II;TP-AD-3007;Talento Humano;Investigaciones disciplinarias
GESTOR I;TP-AD-3008;Talento Humano;Investigaciones disciplinarias
ANALISTA V;TP-AD-2009;Talento Humano;Investigaciones disciplinarias
ANALISTA IV;TP-AD-2010;Talento Humano;Investigaciones disciplinarias
ANALISTA III;TP-AD-2011;Talento Humano;Investigaciones disciplinarias
ANALISTA II;TP-AD-2012;Talento Humano;Investigaciones disciplinarias
ANALISTA I;TP-AD-2013;Talento Humano;Investigaciones disciplinarias
FACILITADOR IV;TP-AD-1014;Talento Humano;Investigaciones disciplinarias
FACILITADOR III;TP-AD-1015;Talento Humano;Investigaciones disciplinarias
FACILITADOR II;TP-AD-1016;Talento Humano;Investigaciones disciplinarias
INSPECTOR IV;TP-DE-3001;Talento Humano;Investigaciones disciplinarias
INSPECTOR III;TP-DE-3002;Talento Humano;Investigaciones disciplinarias
INSPECTOR II;TP-DE-3003;Talento Humano;Investigaciones disciplinarias
INSPECTOR I;TP-DE-3004;Talento Humano;Investigaciones disciplinarias
GESTOR IV;TP-DE-3005;Talento Humano;Investigaciones disciplinarias
GESTOR III;TP-DE-3006;Talento Humano;Investigaciones disciplinarias
GESTOR II;TP-DE-3007;Talento Humano;Investigaciones disciplinarias
GESTOR I;TP-DE-3008;Talento Humano;Investigaciones disciplinarias
ANALISTA V;TP-DE-2009;Talento Humano;Investigaciones disciplinarias
ANALISTA IV;TP-DE-2010;Talento Humano;Investigaciones disciplinarias
ANALISTA III;TP-DE-2011;Talento Humano;Investigaciones disciplinarias
ANALISTA II;TP-DE-2012;Talento Humano;Investigaciones disciplinarias
ANALISTA I;TP-DE-2013;Talento Humano;Investigaciones disciplinarias
FACILITADOR IV;TP-DE-1014;Talento Humano;Investigaciones disciplinarias
FACILITADOR III;TP-DE-1015;Talento Humano;Investigaciones disciplinarias
FACILITADOR II;TP-DE-1016;Talento Humano;Investigaciones disciplinarias
FACILITADOR I;TP-DE-1017;Talento Humano;Investigaciones disciplinarias
FACILITADOR IV;AF-RA-1008;Talento Humano;Investigaciones disciplinarias
FACILITADOR III;AF-RA-1009;Talento Humano;Investigaciones disciplinarias
FACILITADOR II;AF-RA-1011;Talento Humano;Investigaciones disciplinarias
INSPECTOR IV;TP-AD-3001;Talento Humano;Gestión del empleo
INSPECTOR III;TP-AD-3002;Talento Humano;Gestión del empleo
INSPECTOR II;TP-AD-3003;Talento Humano;Gestión del empleo
INSPECTOR I;TP-AD-3004;Talento Humano;Gestión del empleo
GESTOR IV;TP-AD-3005;Talento Humano;Gestión del empleo
GESTOR III;TP-AD-3006;Talento Humano;Gestión del empleo
GESTOR II;TP-AD-3007;Talento Humano;Gestión del empleo
GESTOR I;TP-AD-3008;Talento Humano;Gestión del empleo
ANALISTA V;TP-AD-2009;Talento Humano;Gestión del empleo
ANALISTA IV;TP-AD-2010;Talento Humano;Gestión del empleo
ANALISTA III;TP-AD-2011;Talento Humano;Gestión del empleo
ANALISTA II;TP-AD-2012;Talento Humano;Gestión del empleo
ANALISTA I;TP-AD-2013;Talento Humano;Gestión del empleo
FACILITADOR IV;TP-AD-1014;Talento Humano;Gestión del empleo
FACILITADOR III;TP-AD-1015;Talento Humano;Gestión del empleo
FACILITADOR II;TP-AD-1016;Talento Humano;Gestión del empleo
INSPECTOR IV;TP-DE-3001;Talento Humano;Gestión del empleo
INSPECTOR III;TP-DE-3002;Talento Humano;Gestión del empleo
INSPECTOR II;TP-DE-3003;Talento Humano;Gestión del empleo
INSPECTOR I;TP-DE-3004;Talento Humano;Gestión del empleo
GESTOR IV;TP-DE-3005;Talento Humano;Gestión del empleo
GESTOR III;TP-DE-3006;Talento Humano;Gestión del empleo
GESTOR II;TP-DE-3007;Talento Humano;Gestión del empleo
GESTOR I;TP-DE-3008;Talento Humano;Gestión del empleo
ANALISTA V;TP-DE-2009;Talento Humano;Gestión del empleo
ANALISTA IV;TP-DE-2010;Talento Humano;Gestión del empleo
ANALISTA III;TP-DE-2011;Talento Humano;Gestión del empleo
ANALISTA II;TP-DE-2012;Talento Humano;Gestión del empleo
ANALISTA I;TP-DE-2013;Talento Humano;Gestión del empleo
FACILITADOR IV;TP-DE-1014;Talento Humano;Gestión del empleo
FACILITADOR III;TP-DE-1015;Talento Humano;Gestión del empleo
FACILITADOR II;TP-DE-1016;Talento Humano;Gestión del empleo
FACILITADOR I;TP-DE-1017;Talento Humano;Gestión del empleo
FACILITADOR IV;AF-RA-1008;Talento Humano;Gestión del empleo
FACILITADOR III;AF-RA-1009;Talento Humano;Gestión del empleo
FACILITADOR II;AF-RA-1011;Talento Humano;Gestión del empleo
INSPECTOR IV;TP-AD-3001;Planeación, Estrategia y Control;Administración del sistema de gestión.
INSPECTOR III;TP-AD-3002;Planeación, Estrategia y Control;Administración del sistema de gestión.
INSPECTOR II;TP-AD-3003;Planeación, Estrategia y Control;Administración del sistema de gestión.
INSPECTOR I;TP-AD-3004;Planeación, Estrategia y Control;Administración del sistema de gestión.
GESTOR IV;TP-AD-3005;Planeación, Estrategia y Control;Administración del sistema de gestión.
GESTOR III;TP-AD-3006;Planeación, Estrategia y Control;Administración del sistema de gestión.
GESTOR II;TP-AD-3007;Planeación, Estrategia y Control;Administración del sistema de gestión.
GESTOR I;TP-AD-3008;Planeación, Estrategia y Control;Administración del sistema de gestión.
ANALISTA V;TP-AD-2009;Planeación, Estrategia y Control;Administración del sistema de gestión.
ANALISTA IV;TP-AD-2010;Planeación, Estrategia y Control;Administración del sistema de gestión.
ANALISTA III;TP-AD-2011;Planeación, Estrategia y Control;Administración del sistema de gestión.
ANALISTA II;TP-AD-2012;Planeación, Estrategia y Control;Administración del sistema de gestión.
ANALISTA I;TP-AD-2013;Planeación, Estrategia y Control;Administración del sistema de gestión.
FACILITADOR IV;TP-AD-1014;Planeación, Estrategia y Control;Administración del sistema de gestión.
FACILITADOR III;TP-AD-1015;Planeación, Estrategia y Control;Administración del sistema de gestión.
FACILITADOR II;TP-AD-1016;Planeación, Estrategia y Control;Administración del sistema de gestión.
INSPECTOR IV;TP-DE-3001;Planeación, Estrategia y Control;Administración del sistema de gestión.
INSPECTOR III;TP-DE-3002;Planeación, Estrategia y Control;Administración del sistema de gestión.
INSPECTOR II;TP-DE-3003;Planeación, Estrategia y Control;Administración del sistema de gestión.
INSPECTOR I;TP-DE-3004;Planeación, Estrategia y Control;Administración del sistema de gestión.
GESTOR IV;TP-DE-3005;Planeación, Estrategia y Control;Administración del sistema de gestión.
GESTOR III;TP-DE-3006;Planeación, Estrategia y Control;Administración del sistema de gestión.
GESTOR II;TP-DE-3007;Planeación, Estrategia y Control;Administración del sistema de gestión.
GESTOR I;TP-DE-3008;Planeación, Estrategia y Control;Administración del sistema de gestión.
ANALISTA V;TP-DE-2009;Planeación, Estrategia y Control;Administración del sistema de gestión.
ANALISTA IV;TP-DE-2010;Planeación, Estrategia y Control;Administración del sistema de gestión.
ANALISTA III;TP-DE-2011;Planeación, Estrategia y Control;Administración del sistema de gestión.
ANALISTA II;TP-DE-2012;Planeación, Estrategia y Control;Administración del sistema de gestión.
ANALISTA I;TP-DE-2013;Planeación, Estrategia y Control;Administración del sistema de gestión.
FACILITADOR IV;TP-DE-1014;Planeación, Estrategia y Control;Administración del sistema de gestión.
FACILITADOR III;TP-DE-1015;Planeación, Estrategia y Control;Administración del sistema de gestión.
FACILITADOR II;TP-DE-1016;Planeación, Estrategia y Control;Administración del sistema de gestión.
FACILITADOR I;TP-DE-1017;Planeación, Estrategia y Control;Administración del sistema de gestión.
FACILITADOR IV;AF-RA-1008;Planeación, Estrategia y Control;Administración del sistema de gestión.
FACILITADOR III;AF-RA-1009;Planeación, Estrategia y Control;Administración del sistema de gestión.
FACILITADOR II;AF-RA-1011;Planeación, Estrategia y Control;Administración del sistema de gestión.
INSPECTOR IV;TP-AD-3001;"Cumplimiento de obligaciones tributarias; Administrativo y financiero ";"Recaudo-Devoluciones; Función Recaudadora"
INSPECTOR III;TP-AD-3002;"Cumplimiento de obligaciones tributarias; Administrativo y financiero ";"Recaudo-Devoluciones; Función Recaudadora"
INSPECTOR II;TP-AD-3003;"Cumplimiento de obligaciones tributarias; Administrativo y financiero ";"Recaudo-Devoluciones; Función Recaudadora"
INSPECTOR I;TP-AD-3004;"Cumplimiento de obligaciones tributarias; Administrativo y financiero ";"Recaudo-Devoluciones; Función Recaudadora"
GESTOR IV;TP-AD-3005;"Cumplimiento de obligaciones tributarias; Administrativo y financiero ";"Recaudo-Devoluciones; Función Recaudadora"
GESTOR III;TP-AD-3006;"Cumplimiento de obligaciones tributarias; Administrativo y financiero ";"Recaudo-Devoluciones; Función Recaudadora"
GESTOR II;TP-AD-3007;"Cumplimiento de obligaciones tributarias; Administrativo y financiero ";"Recaudo-Devoluciones; Función Recaudadora"
GESTOR I;TP-AD-3008;"Cumplimiento de obligaciones tributarias; Administrativo y financiero ";"Recaudo-Devoluciones; Función Recaudadora"
ANALISTA V;TP-AD-2009;"Cumplimiento de obligaciones tributarias; Administrativo y financiero ";"Recaudo-Devoluciones; Función Recaudadora"
ANALISTA IV;TP-AD-2010;"Cumplimiento de obligaciones tributarias; Administrativo y financiero ";"Recaudo-Devoluciones; Función Recaudadora"
ANALISTA III;TP-AD-2011;"Cumplimiento de obligaciones tributarias; Administrativo y financiero ";"Recaudo-Devoluciones; Función Recaudadora"
ANALISTA II;TP-AD-2012;"Cumplimiento de obligaciones tributarias; Administrativo y financiero ";"Recaudo-Devoluciones; Función Recaudadora"
ANALISTA I;TP-AD-2013;"Cumplimiento de obligaciones tributarias; Administrativo y financiero ";"Recaudo-Devoluciones; Función Recaudadora"
FACILITADOR IV;TP-AD-1014;"Cumplimiento de obligaciones tributarias; Administrativo y financiero ";"Recaudo-Devoluciones; Función Recaudadora"
FACILITADOR III;TP-AD-1015;"Cumplimiento de obligaciones tributarias; Administrativo y financiero ";"Recaudo-Devoluciones; Función Recaudadora"
FACILITADOR II;TP-AD-1016;"Cumplimiento de obligaciones tributarias; Administrativo y financiero ";"Recaudo-Devoluciones; Función Recaudadora"
INSPECTOR IV;TP-DE-3001;"Cumplimiento de obligaciones tributarias; Administrativo y financiero ";"Recaudo-Devoluciones; Función Recaudadora"
INSPECTOR III;TP-DE-3002;"Cumplimiento de obligaciones tributarias; Administrativo y financiero ";"Recaudo-Devoluciones; Función Recaudadora"
INSPECTOR II;TP-DE-3003;"Cumplimiento de obligaciones tributarias; Administrativo y financiero ";"Recaudo-Devoluciones; Función Recaudadora"
INSPECTOR I;TP-DE-3004;"Cumplimiento de obligaciones tributarias; Administrativo y financiero ";"Recaudo-Devoluciones; Función Recaudadora"
GESTOR IV;TP-DE-3005;"Cumplimiento de obligaciones tributarias; Administrativo y financiero ";"Recaudo-Devoluciones; Función Recaudadora"
GESTOR III;TP-DE-3006;"Cumplimiento de obligaciones tributarias; Administrativo y financiero ";"Recaudo-Devoluciones; Función Recaudadora"
GESTOR II;TP-DE-3007;"Cumplimiento de obligaciones tributarias; Administrativo y financiero ";"Recaudo-Devoluciones; Función Recaudadora"
GESTOR I;TP-DE-3008;"Cumplimiento de obligaciones tributarias; Administrativo y financiero ";"Recaudo-Devoluciones; Función Recaudadora"
ANALISTA V;TP-DE-2009;"Cumplimiento de obligaciones tributarias; Administrativo y financiero ";"Recaudo-Devoluciones; Función Recaudadora"
ANALISTA IV;TP-DE-2010;"Cumplimiento de obligaciones tributarias; Administrativo y financiero ";"Recaudo-Devoluciones; Función Recaudadora"
ANALISTA III;TP-DE-2011;"Cumplimiento de obligaciones tributarias; Administrativo y financiero ";"Recaudo-Devoluciones; Función Recaudadora"
ANALISTA II;TP-DE-2012;"Cumplimiento de obligaciones tributarias; Administrativo y financiero ";"Recaudo-Devoluciones; Función Recaudadora"
ANALISTA I;TP-DE-2013;"Cumplimiento de obligaciones tributarias; Administrativo y financiero ";"Recaudo-Devoluciones; Función Recaudadora"
FACILITADOR IV;TP-DE-1014;"Cumplimiento de obligaciones tributarias; Administrativo y financiero ";"Recaudo-Devoluciones; Función Recaudadora"
FACILITADOR III;TP-DE-1015;"Cumplimiento de obligaciones tributarias; Administrativo y financiero ";"Recaudo-Devoluciones; Función Recaudadora"
FACILITADOR II;TP-DE-1016;"Cumplimiento de obligaciones tributarias; Administrativo y financiero ";"Recaudo-Devoluciones; Función Recaudadora"
FACILITADOR I;TP-DE-1017;"Cumplimiento de obligaciones tributarias; Administrativo y financiero ";"Recaudo-Devoluciones; Función Recaudadora"
FACILITADOR IV;AF-RA-1008;"Cumplimiento de obligaciones tributarias; Administrativo y financiero ";"Recaudo-Devoluciones; Función Recaudadora"
FACILITADOR III;AF-RA-1009;"Cumplimiento de obligaciones tributarias; Administrativo y financiero ";"Recaudo-Devoluciones; Función Recaudadora"
FACILITADOR II;AF-RA-1011;"Cumplimiento de obligaciones tributarias; Administrativo y financiero ";"Recaudo-Devoluciones; Función Recaudadora"
INSPECTOR IV;TP-AD-3001;Cercanía con el ciudadano ;Factura Electrónica y Servicios Digitales
INSPECTOR III;TP-AD-3002;Cercanía con el ciudadano ;Factura Electrónica y Servicios Digitales
INSPECTOR II;TP-AD-3003;Cercanía con el ciudadano ;Factura Electrónica y Servicios Digitales
INSPECTOR I;TP-AD-3004;Cercanía con el ciudadano ;Factura Electrónica y Servicios Digitales
GESTOR IV;TP-AD-3005;Cercanía con el ciudadano ;Factura Electrónica y Servicios Digitales
GESTOR III;TP-AD-3006;Cercanía con el ciudadano ;Factura Electrónica y Servicios Digitales
GESTOR II;TP-AD-3007;Cercanía con el ciudadano ;Factura Electrónica y Servicios Digitales
GESTOR I;TP-AD-3008;Cercanía con el ciudadano ;Factura Electrónica y Servicios Digitales
ANALISTA V;TP-AD-2009;Cercanía con el ciudadano ;Factura Electrónica y Servicios Digitales
ANALISTA IV;TP-AD-2010;Cercanía con el ciudadano ;Factura Electrónica y Servicios Digitales
ANALISTA III;TP-AD-2011;Cercanía con el ciudadano ;Factura Electrónica y Servicios Digitales
ANALISTA II;TP-AD-2012;Cercanía con el ciudadano ;Factura Electrónica y Servicios Digitales
ANALISTA I;TP-AD-2013;Cercanía con el ciudadano ;Factura Electrónica y Servicios Digitales
FACILITADOR IV;TP-AD-1014;Cercanía con el ciudadano ;Factura Electrónica y Servicios Digitales
FACILITADOR III;TP-AD-1015;Cercanía con el ciudadano ;Factura Electrónica y Servicios Digitales
FACILITADOR II;TP-AD-1016;Cercanía con el ciudadano ;Factura Electrónica y Servicios Digitales
INSPECTOR IV;TP-DE-3001;Cercanía con el ciudadano ;Factura Electrónica y Servicios Digitales
INSPECTOR III;TP-DE-3002;Cercanía con el ciudadano ;Factura Electrónica y Servicios Digitales
INSPECTOR II;TP-DE-3003;Cercanía con el ciudadano ;Factura Electrónica y Servicios Digitales
INSPECTOR I;TP-DE-3004;Cercanía con el ciudadano ;Factura Electrónica y Servicios Digitales
GESTOR IV;TP-DE-3005;Cercanía con el ciudadano ;Factura Electrónica y Servicios Digitales
GESTOR III;TP-DE-3006;Cercanía con el ciudadano ;Factura Electrónica y Servicios Digitales
GESTOR II;TP-DE-3007;Cercanía con el ciudadano ;Factura Electrónica y Servicios Digitales
GESTOR I;TP-DE-3008;Cercanía con el ciudadano ;Factura Electrónica y Servicios Digitales
ANALISTA V;TP-DE-2009;Cercanía con el ciudadano ;Factura Electrónica y Servicios Digitales
ANALISTA IV;TP-DE-2010;Cercanía con el ciudadano ;Factura Electrónica y Servicios Digitales
ANALISTA III;TP-DE-2011;Cercanía con el ciudadano ;Factura Electrónica y Servicios Digitales
ANALISTA II;TP-DE-2012;Cercanía con el ciudadano ;Factura Electrónica y Servicios Digitales
ANALISTA I;TP-DE-2013;Cercanía con el ciudadano ;Factura Electrónica y Servicios Digitales
FACILITADOR IV;TP-DE-1014;Cercanía con el ciudadano ;Factura Electrónica y Servicios Digitales
FACILITADOR III;TP-DE-1015;Cercanía con el ciudadano ;Factura Electrónica y Servicios Digitales
FACILITADOR II;TP-DE-1016;Cercanía con el ciudadano ;Factura Electrónica y Servicios Digitales
FACILITADOR I;TP-DE-1017;Cercanía con el ciudadano ;Factura Electrónica y Servicios Digitales
FACILITADOR IV;AF-RA-1008;Cercanía con el ciudadano ;Factura Electrónica y Servicios Digitales
FACILITADOR III;AF-RA-1009;Cercanía con el ciudadano ;Factura Electrónica y Servicios Digitales
FACILITADOR II;AF-RA-1011;Cercanía con el ciudadano ;Factura Electrónica y Servicios Digitales
INSPECTOR IV;TP-AD-3001;Todos los procesos ;Todos los subprocesos asociados al o los proceso(s)
INSPECTOR III;TP-AD-3002;Todos los procesos ;Todos los subprocesos asociados al o los proceso(s)
INSPECTOR II;TP-AD-3003;Todos los procesos ;Todos los subprocesos asociados al o los proceso(s)
INSPECTOR I;TP-AD-3004;Todos los procesos ;Todos los subprocesos asociados al o los proceso(s)
GESTOR IV;TP-AD-3005;Todos los procesos ;Todos los subprocesos asociados al o los proceso(s)
GESTOR III;TP-AD-3006;Todos los procesos ;Todos los subprocesos asociados al o los proceso(s)
GESTOR II;TP-AD-3007;Todos los procesos ;Todos los subprocesos asociados al o los proceso(s)
GESTOR I;TP-AD-3008;Todos los procesos ;Todos los subprocesos asociados al o los proceso(s)
ANALISTA V;TP-AD-2009;Todos los procesos ;Todos los subprocesos asociados al o los proceso(s)
ANALISTA IV;TP-AD-2010;Todos los procesos ;Todos los subprocesos asociados al o los proceso(s)
ANALISTA III;TP-AD-2011;Todos los procesos ;Todos los subprocesos asociados al o los proceso(s)
ANALISTA II;TP-AD-2012;Todos los procesos ;Todos los subprocesos asociados al o los proceso(s)
ANALISTA I;TP-AD-2013;Todos los procesos ;Todos los subprocesos asociados al o los proceso(s)
FACILITADOR IV;TP-AD-1014;Todos los procesos ;Todos los subprocesos asociados al o los proceso(s)
FACILITADOR III;TP-AD-1015;Todos los procesos ;Todos los subprocesos asociados al o los proceso(s)
FACILITADOR II;TP-AD-1016;Todos los procesos ;Todos los subprocesos asociados al o los proceso(s)
INSPECTOR IV;TP-DE-3001;Todos los procesos ;Todos los subprocesos asociados al o los proceso(s)
INSPECTOR III;TP-DE-3002;Todos los procesos ;Todos los subprocesos asociados al o los proceso(s)
INSPECTOR II;TP-DE-3003;Todos los procesos ;Todos los subprocesos asociados al o los proceso(s)
INSPECTOR I;TP-DE-3004;Todos los procesos ;Todos los subprocesos asociados al o los proceso(s)
GESTOR IV;TP-DE-3005;Todos los procesos ;Todos los subprocesos asociados al o los proceso(s)
